
2025/06/08 (19:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/08 (19:54:00) | ===> btop++ v.1.3.0
2025/06/08 (19:54:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/08 (23:53:31) | ===> btop++ v.1.3.0
2025/06/08 (23:53:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/09 (12:24:35) | ===> btop++ v.1.3.0
2025/06/09 (12:24:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
